STATION CODE,year,LOCATIONS,STATE,Temp,D.O.,PH,CONDUCTIVITY,B.O.D.,NITRATE,FECAL COLIFORM,TOTAL COLIFORM,Potability,WQI
17,2014,"PERIYAR NEAR ALWAYENANELOOR, KERALA",KERALA,28.1,5,6.9,3185,1.8,0.4,290,667,1,67.71710783
17,2013,"PERIYAR NEAR ALWAYENANELOOR, KERALA",KERALA,28.2,6,7,5569,2.2,0.68,473,1894,1,73.07686226
17,2012,PERIYAR NEAR ALWAYENANELOOR,KERALA,28,5.1,6.9,1789,2.1,0.68,408,1946,1,72.52878487
17,2011,PERIYAR NEAR ALWAYENANELOOR,KERALA,27.5,5.6,6.9,943,1.5,0.4,655,1925,1,70.02500609
17,2010,PERIYAR NEAR ALWAYENANELOOR,NAN,27.4,5.2,6.6,453,1.5,0.38,644,4613,1,66.97787791
17,2009,NAN,"PERIYAR NEAR ALWAYENANELOOR, KERALA",28,8.1,6.3,1414,1.1,0.31,100,690,1,31.58974017
17,2008,"PERIYAR NEAR ALWAYENANELOOR, KERALA",NAN,29,6.2,6.5,1638,1.5,0.8,349,816,1,53.41952435
17,2007,"PERIYAR NEAR ALWAYENANELOOR, KERALA",NAN,28,5.5,6.6,1314,1.7,0.4,290,668,1,58.80707304
17,2006,"PERIYAR NEAR ALWAYENANELOOR, KERALA",NAN,29.083,6.2,6.457,881.1,1.757,0.326,253,541,1,52.50610715
17,2003,"PERIYAR AT ALWAYE, KERALA",NAN,28,6.4,1579,5.8,1.7,0.513,0.513,959,0,27344.74208
18,2014,"PERIYAR AT KALADY, KERALA",KERALA,27.7,7,7,36,1.1,0.2,276,541,1,52.5657087
18,2013,"PERIYAR AT KALADY, KERALA",KERALA,27.2,7.3,7,34,1,0.27,234,927,1,49.40730383
18,2012,PERIYAR AT KALADY,KERALA,27,7.5,7.2,36,1.1,0.27,282,1134,1,53.90910991
18,2011,"PERIYAR AT KALADY, KERALA",KERALA,26.3,7.4,7,38,0.9,0.26,386,1196,1,51.45830887
18,2010,PERIYAR AT KALADY,NAN,27.3,7.2,6.8,35,1.1,0.24,513,3483,1,54.02412678
18,2009,NAN,"PERIYAR AT KALADY, KERALA",27,6.9,6.8,41,0.8,0.22,261,1487,1,46.80085165
18,2008,"PERIYAR AT KALADY, KERALA",NAN,28,7.3,6.6,36,0.6,0.41,304,1056,1,40.52587583
18,2007,"PERIYAR AT KALADY, KERALA",NAN,27,7.5,6.8,32,0.8,0.3,200,738,1,42.41521391
18,2006,"PERIYAR AT KALADY, KERALA",NAN,27.417,7.286,6.586,82.9,1.071,0.233,222,470,1,42.5538444
18,2003,"PERIYAR AT KALADY, KERALA",NAN,27,6.8,62,7.5,1.5,0.221,0.221,892,0,1005.84905
20,2014,"CHALIYAR AT KOOLIMADU, KERALA",KERALA,26.7,7,7.5,80,0.8,0.4,2573,3583,0,110.0720887
20,2013,"CHALIYAR AT KOOLIMADU, KERALA",KERALA,27.4,7.3,7.4,70,0.8,0.31,2984,4208,0,116.0935158
20,2012,CHALIYAR AT KOOLIMADU,KERALA,26,7.3,7.2,76,0.6,0.31,468,893,1,54.51953583
20,2011,"CHALIYAR AT KOOLIMADU, KERALA",KERALA,24.7,7.1,7.1,64,0.6,0.4,283,646,1,49.61794174
20,2010,CHALIYAR AT KOOLIMADU,NAN,26,7,7.1,62,0.5,0.44,385,617,1,51.4690807
20,2009,NAN,"CHALIYAR AT KOOLIMADU, KERALA",27,6.9,6.9,78,0.5,0.23,393,703,1,48.63607965
20,2008,"CHALIYAR AT KOOLIMADU, KERALA",NAN,27,6.8,6.9,80,0.4,0.52,207,508,1,44.13597861
20,2007,"CHALIYAR AT KOOLIMADU, KERALA",NAN,28,6.9,6.7,73,0.5,0.2,688,1242,1,51.79515565
20,2006,"CHALIYAR AT KOOLIMADU, KERALA",NAN,28.6,6.917,6.95,185.4,0.467,0.112,165,433,1,44.03238447
20,2003,"CHALIYAR AT KOOLIMADU, KERALA",NAN,28,6.9,62,6.8,0.4,0.21,0.21,802,0,995.6084007
21,2014,"CHALIYAR AT CHUNGAPALLY, KERALA",KERALA,25.8,6.7,7.4,14526,0.8,0.6,1411,1969,1,86.96154957
21,2013,"CHALIYAR AT CHUNGAPALLY, KERALA",KERALA,27.5,6.9,7.4,12754,0.8,0.29,1807,2557,1,94.42948765
21,2012,CHALIYAR AT CHUNGAPALLY,KERALA,26,7,7.3,11041,0.9,0.29,256,503,1,57.9917607
21,2011,CHALIYAR AT CHUNGAPALLY,KERALA,24.8,7.1,7.1,4600,0.6,0.35,229,538,1,49.38886174
21,2010,CHALIYAR AT CHUNGAPALLY,NAN,26.2,7,7.1,5228,0.6,0.34,240,455,1,50.2309807
21,2009,NAN,"CHALIYAR AT CHUNGAPALLY, KERALA",26,6.7,6.9,5507,0.6,0.28,433,715,1,52.57431357
21,2008,"CHALIYAR AT CHUNGAPALLY, KERALA",NAN,27,6.8,7,4515,0.4,1.53,184,427,1,46.52032661
21,2007,"CHALIYAR AT CHUNGAPALLY, KERALA",NAN,28,6.8,6.9,7920,0.5,0.2,391,813,1,50.81650261
21,2006,"CHALIYAR AT CHUNGAPALLY, KERALA",NAN,28.667,6.8,7.043,8489.9,0.414,0.153,238,473,1,49.19773901
21,2003,"CHALIYAR AT KALLAPALLY, KERALA",NAN,28,7,9416,6.7,0.5,0.241,0.241,832,0,163381.4659
42,2014,"KALLADA AT PERUMTHOTTAMKADAVU, PUNALOOR, KERALA",KERALA,24.8,7.2,7.6,75,1.4,1,188,426,1,62.87105478
42,2013,"KALLADA AT PERUMTHOTTAMKADAVU, PUNALOOR, KERALA",KERALA,23.9,6.7,7.1,79,1.6,0.34,313,738,1,61.06902157
42,2012,"KALLADA AT PERUMTHOTTAM KADAVU, PUNALOOR",KERALA,25,7.1,7.2,61,1,0.34,251,608,1,54.16671374
42,2011,"KALLADA AT PERUMTHOTTAM KADAVU, PUNALOOR, KERALA",KERALA,26.5,7.2,7.1,52,0.6,0.15,298,687,1,49.42553478
42,2010,"KALLADA AT PERUMTHOTTA MKADAVU, PUNALOOR",NAN,27.5,7.2,7,51,0.6,0.26,285,522,1,47.38736278
42,2009,NAN,"KALLADA AT PERUMTHOTTAMKADAVU, PUNALOOR, KERALA",27,7.3,7,49,0.7,0.66,228,445,1,46.59311583
42,2008,"KALLADA AT PERUMTHOTTAMKADAVU, PUNALOOR, KERALA",NAN,29,7.7,7.2,47,1,2,253,452,1,51.61368
42,2007,"KALLADA AT PERUMTHOTTAMKADAVU, PUNALOOR, KERALA",NAN,29,7.4,7.2,49,1.1,0.3,327,641,1,55.28500087
42,2006,"KALLADA AT PERUMTHOTTAMKADAVU, PUNALOOR, KERALA",NAN,27.786,7.075,7.25,107.3,0.988,0.369,238,384,1,54.72807468
42,2003,"KALLADA AT PANATHOTTUM KADAVU, PUNALOOR, KERALA",NAN,24,6.9,39,6.9,1.1,0.195,0.195,958,0,602.5558592
43,2014,"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",KERALA,27.8,6.9,6.8,59,0.6,0.5,1916,3375,1,82.08037565
43,2013,"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",KERALA,27.1,6.8,7.2,105,0.6,0.39,1200,2392,1,73.45407461
43,2012,MUVATTAPUZHA AT VETTIKKATTUMUKKU,KERALA,27,6.7,7.1,58,1.2,0.39,964,1739,1,72.14076157
43,2011,"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",KERALA,26.5,7,7,56,1.1,0.43,768,1725,1,63.7490527
43,2010,MUVATTAPUZHA AT VETTIKKATTUMUKKU,NAN,28.1,6.7,6.9,62,1.2,0.46,385,2193,1,55.98739757
43,2009,NAN,"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",28,6.7,6.7,67,1.3,0.4,309,1025,1,51.45332957
43,2008,"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",NAN,29,7.1,6.8,57,1.5,1.12,230,681,1,51.35329774
43,2007,"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",NAN,28,7.2,6.8,58,1.5,0.3,173,556,1,49.42385478
43,2006,"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",NAN,28.143,7.013,6.712,151.4,1.4,0.397,262,485,1,49.90152499
43,2003,"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",NAN,28,7.1,53,6.9,1.4,0.367,0.367,632,0,847.255216
1023,2014,"GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA), PUNJAB",PUNJAB,22.7,5.8,7.2,640,6,4.3,1450,4073,0,132.8477522
